Date,Time,Src IP,Dst IP,Byte Size
2024-03-27,14:21:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:21:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[137]
2024-03-27,14:21:44,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 74]"
2024-03-27,14:21:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:21:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[60]
2024-03-27,14:22:13,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:22:13,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:22:13,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:22:34,"('52.36.92.236', 443)","('10.3.141.126', 47036)",[219]
2024-03-27,14:22:34,"('10.3.141.126', 47036)","('52.36.92.236', 443)",[690]
2024-03-27,14:22:34,"('10.3.141.126', 47036)","('52.36.92.236', 443)",[29]
2024-03-27,14:22:35,"('35.155.46.81', 443)","('10.3.141.126', 34880)",[216]
2024-03-27,14:22:35,"('35.155.46.81', 443)","('10.3.141.126', 34880)",[70]
2024-03-27,14:22:35,"('10.3.141.126', 34880)","('35.155.46.81', 443)",[28]
2024-03-27,14:22:35,"('35.155.46.81', 443)","('10.3.141.126', 34880)",[63]
2024-03-27,14:22:35,"('10.3.141.126', 34880)","('35.155.46.81', 443)",[29]
2024-03-27,14:22:35,"('10.3.141.126', 34880)","('35.155.46.81', 443)",[29]
2024-03-27,14:22:35,"('52.49.77.114', 443)","('10.3.141.126', 58610)",[416]
2024-03-27,14:22:36,"('52.49.77.114', 443)","('10.3.141.126', 58618)",[836]
2024-03-27,14:22:36,"('10.3.141.126', 58610)","('52.49.77.114', 443)",[784]
2024-03-27,14:22:36,"('10.3.141.126', 58610)","('52.49.77.114', 443)",[29]
2024-03-27,14:22:36,"('10.3.141.126', 58618)","('52.49.77.114', 443)",[690]
2024-03-27,14:22:36,"('10.3.141.126', 58618)","('52.49.77.114', 443)",[29]
2024-03-27,14:22:36,"('52.49.77.114', 443)","('10.3.141.126', 58610)",[794]
2024-03-27,14:22:36,"('52.49.77.114', 443)","('10.3.141.126', 58618)",[1251]
