Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,07:55:34,"('54.88.85.133', 443)","('10.3.141.106', 50666)",[250]
2024-04-11,07:55:34,"('10.3.141.106', 50666)","('54.88.85.133', 443)","[455, 29]"
2024-04-11,07:55:35,"('10.3.141.228', 34070)","('13.225.63.16', 443)","[122, 1, 27]"
2024-04-11,07:55:35,"('13.225.63.16', 443)","('10.3.141.228', 34070)","[1, 53]"
2024-04-11,07:55:35,"('13.225.63.16', 443)","('10.3.141.228', 34070)",[110]
2024-04-11,07:55:35,"('10.3.141.228', 34070)","('13.225.63.16', 443)",[141]
2024-04-11,07:55:35,"('10.3.141.228', 34070)","('13.225.63.16', 443)",[496]
2024-04-11,07:55:35,"('13.225.63.16', 443)","('10.3.141.228', 34070)",[19]
2024-04-11,07:55:35,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:55:35,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[137]
2024-04-11,07:55:35,"('10.3.141.106', 49088)","('54.221.178.44', 443)","[28, 73]"
2024-04-11,07:55:35,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:55:35,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[60]
2024-04-11,07:55:50,"('54.187.88.27', 443)","('10.3.141.126', 41782)",[219]
2024-04-11,07:55:51,"('10.3.141.126', 41782)","('54.187.88.27', 443)","[688, 29]"
2024-04-11,07:55:52,"('18.221.234.99', 443)","('10.3.141.92', 49180)",[576]
2024-04-11,07:55:52,"('54.148.8.43', 443)","('10.3.141.126', 50772)",[216]
2024-04-11,07:55:52,"('54.148.8.43', 443)","('10.3.141.126', 50772)",[70]
2024-04-11,07:55:52,"('10.3.141.92', 49180)","('18.221.234.99', 443)",[112]
2024-04-11,07:55:52,"('10.3.141.126', 50772)","('54.148.8.43', 443)",[28]
2024-04-11,07:55:52,"('10.3.141.126', 50772)","('54.148.8.43', 443)",[29]
2024-04-11,07:55:52,"('54.148.8.43', 443)","('10.3.141.126', 50772)",[63]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52094)",[889]
2024-04-11,07:55:52,"('10.3.141.126', 50772)","('54.148.8.43', 443)",[29]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52102)",[469]
2024-04-11,07:55:52,"('10.3.141.126', 52094)","('108.128.76.53', 443)",[690]
2024-04-11,07:55:52,"('10.3.141.126', 52094)","('108.128.76.53', 443)",[29]
2024-04-11,07:55:52,"('10.3.141.126', 52102)","('108.128.76.53', 443)",[747]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52102)",[847]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52094)",[1304]
2024-04-11,07:55:52,"('10.3.141.126', 52102)","('108.128.76.53', 443)",[690]
2024-04-11,07:55:52,"('10.3.141.126', 52102)","('108.128.76.53', 443)",[29]
2024-04-11,07:55:52,"('10.3.141.126', 52094)","('108.128.76.53', 443)",[704]
2024-04-11,07:55:52,"('10.3.141.126', 52094)","('108.128.76.53', 443)",[29]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52102)",[779]
2024-04-11,07:55:52,"('108.128.76.53', 443)","('10.3.141.126', 52094)",[645]
