Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,10:37:11,"('1.1.1.1', 443)","('10.3.141.106', 57204)","[1, 69]"
2024-04-11,10:37:11,"('1.1.1.1', 443)","('10.3.141.106', 57204)",[138]
2024-04-11,10:37:11,"('10.3.141.106', 57204)","('1.1.1.1', 443)",[477]
2024-04-11,10:37:11,"('1.1.1.1', 443)","('10.3.141.106', 57204)",[19]
2024-04-11,10:37:11,"('1.0.0.1', 443)","('10.3.141.106', 59684)","[1, 69]"
2024-04-11,10:37:11,"('1.0.0.1', 443)","('10.3.141.106', 59684)",[138]
2024-04-11,10:37:11,"('10.3.141.106', 59684)","('1.0.0.1', 443)",[477]
2024-04-11,10:37:11,"('1.0.0.1', 443)","('10.3.141.106', 59684)",[19]
2024-04-11,10:37:13,"('54.83.6.220', 443)","('10.3.141.106', 54052)",[250]
2024-04-11,10:37:13,"('10.3.141.106', 54052)","('54.83.6.220', 443)",[456]
2024-04-11,10:37:13,"('10.3.141.106', 54052)","('54.83.6.220', 443)",[29]
2024-04-11,10:37:14,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:37:14,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[137]
2024-04-11,10:37:14,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:37:14,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[74]
2024-04-11,10:37:14,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:37:14,"('54.208.230.204', 443)","('10.3.141.106', 41080)","[60, 28, 504, 921, 28, 504, 1016, 442, 28, 504]"
2024-04-11,10:37:14,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:37:14,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:37:26,"('18.221.234.99', 443)","('10.3.141.92', 49194)",[576]
2024-04-11,10:37:26,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[112]
2024-04-11,10:37:27,"('18.221.234.99', 443)","('10.3.141.92', 49194)",[96]
2024-04-11,10:37:27,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[352]
2024-04-11,10:37:27,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[80]
2024-04-11,10:37:30,"('3.209.184.85', 443)","('10.3.141.92', 49196)",[192]
2024-04-11,10:37:30,"('10.3.141.92', 49196)","('3.209.184.85', 443)",[240]
2024-04-11,10:37:30,"('18.221.234.99', 443)","('10.3.141.92', 49194)",[96]
2024-04-11,10:37:30,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[64]
2024-04-11,10:37:43,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:37:43,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:37:43,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:37:43,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:37:52,"('10.3.141.228', 35002)","('13.225.63.129', 443)","[122, 1, 27]"
2024-04-11,10:37:52,"('13.225.63.129', 443)","('10.3.141.228', 35002)","[1, 53]"
2024-04-11,10:37:52,"('13.225.63.129', 443)","('10.3.141.228', 35002)",[110]
2024-04-11,10:37:52,"('10.3.141.228', 35002)","('13.225.63.129', 443)",[141]
2024-04-11,10:37:52,"('10.3.141.228', 35002)","('13.225.63.129', 443)",[517]
2024-04-11,10:37:52,"('13.225.63.129', 443)","('10.3.141.228', 35002)",[19]
2024-04-11,10:38:03,"('54.187.88.27', 443)","('10.3.141.126', 56328)",[219]
2024-04-11,10:38:03,"('10.3.141.126', 56328)","('54.187.88.27', 443)",[692]
2024-04-11,10:38:03,"('10.3.141.126', 56328)","('54.187.88.27', 443)",[29]
2024-04-11,10:38:04,"('52.38.80.160', 443)","('10.3.141.126', 59782)",[220]
2024-04-11,10:38:04,"('52.38.80.160', 443)","('10.3.141.126', 59782)",[70]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[836]
2024-04-11,10:38:05,"('10.3.141.126', 59782)","('52.38.80.160', 443)",[28]
2024-04-11,10:38:05,"('10.3.141.126', 59782)","('52.38.80.160', 443)",[29]
2024-04-11,10:38:05,"('52.38.80.160', 443)","('10.3.141.126', 59782)",[63]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43062)",[416]
2024-04-11,10:38:05,"('10.3.141.126', 59782)","('52.38.80.160', 443)",[29]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[794]
2024-04-11,10:38:05,"('10.3.141.126', 43062)","('54.171.223.163', 443)",[747]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43062)",[1251]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:05,"('10.3.141.126', 43062)","('54.171.223.163', 443)",[704]
2024-04-11,10:38:05,"('10.3.141.126', 43062)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[726]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43062)",[592]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:05,"('10.3.141.126', 43062)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:05,"('10.3.141.126', 43062)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:05,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[1152]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[704]
2024-04-11,10:38:05,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:06,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[626]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[704]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
